05-08-2016 12:26:56:551557 INFO:	SERVER:Staring the thread for inotify 
05-08-2016 12:30:21:76383 INFO:	SERVER:Staring the server 
05-08-2016 12:30:21:76487 INFO:	SERVER:Fetching data base path 
05-08-2016 12:30:21:76538 DEBUG:	SERVER:Database path found 
05-08-2016 12:30:21:76876 INFO:	SERVER:Client[ ] request for details pulsar 23 
05-08-2016 12:30:21:76894 DEBUG:	SERVER:Getting the instance of database 
05-08-2016 12:30:21:76904 INFO:	SERVER:Get the data for the required vehicle 
05-08-2016 12:30:21:76925 INFO:	SERVER:Fiiling up base class vahan 
05-08-2016 12:30:21:77893 INFO:	SERVER:Pulsar details sent over socket 
05-08-2016 12:30:21:77941 INFO:	SERVER:Server exiting..... 
05-08-2016 12:30:21:77952 INFO:	SERVER:initializing the inotify 
05-08-2016 12:30:21:77960 INFO:	SERVER:Staring the thread for inotify 
05-08-2016 12:30:21:78051 INFO:	SERVER:Adding a watch for file 
05-08-2016 12:30:21:78075 INFO:	SERVER:infite while loop 
05-08-2016 12:31:44:204980 INFO:	SERVER:infite while loop 
05-08-2016 12:33:49:387699 INFO:	SERVER:Staring the server 
05-08-2016 12:33:49:388026 INFO:	SERVER:Fetching data base path 
05-08-2016 12:33:49:388250 DEBUG:	SERVER:Database path found 
05-08-2016 12:33:49:391374 INFO:	SERVER:Client[ ] request for details pulsar 23 
05-08-2016 12:33:49:391451 DEBUG:	SERVER:Getting the instance of database 
05-08-2016 12:33:49:391477 INFO:	SERVER:Get the data for the required vehicle 
05-08-2016 12:33:49:391539 INFO:	SERVER:Fiiling up base class vahan 
05-08-2016 12:33:49:395398 INFO:	SERVER:Pulsar details sent over socket 
05-08-2016 12:33:49:395527 INFO:	SERVER:Server exiting..... 
05-08-2016 12:33:49:395555 INFO:	SERVER:initializing the inotify 
05-08-2016 12:33:49:395580 INFO:	SERVER:Staring the thread for inotify 
05-08-2016 12:33:49:395956 INFO:	SERVER:Adding a watch for file 
05-08-2016 12:33:49:396043 INFO:	SERVER:infite while loop 
05-08-2016 12:34:12:140853 INFO:	SERVER:file is modified 
05-08-2016 12:34:17:141154 INFO:	SERVER:infite while loop 
